keys,en,de
SB_REQ_BELL_KNOWN,"You have already heard what is wrong with the bell.","Du weißt bereits, was mit der Glocke nicht stimmt."
SB_INSPECT_BELL_DONE,"Warden Ilse Marr has the bell struck for you. It does not ring - it clanks, flat and dead, and the crack runs from lip to crown. 'No bell, no caravan,' she says. 'The water carriers only come when they hear us. The founder's mould went to the traders on the Hulk years ago. Bring it back, and talk to Maren Kett - she can cast.'","Wardein Ilse Marr lässt die Glocke für dich anschlagen. Sie klingt nicht – sie scheppert, flach und tot, und der Riss läuft vom Rand bis zur Krone. „Keine Glocke, keine Karawane“, sagt sie. „Die Wasserträger kommen nur, wenn sie uns hören. Die Gießform ging vor Jahren an die Händler auf dem Wrack. Hol sie zurück, und sprich mit Maren Kett – sie kann gießen.“"
SB_REQ_NEED_REASON,"Nobody here sells you a bell mould without a reason to want one.","Ohne guten Grund verkauft dir hier niemand eine Glockenform."
SB_REQ_HAVE_MOULD,"The mould is already strapped to your truck.","Die Form ist schon auf deinem Laster festgezurrt."
SB_REQ_MOULD_PRICE,"Quartermaster Ide wants 4 ammo for the mould.","Quartiermeisterin Ide will 4 Munition für die Form."
SB_REQ_MOULD_BAY,"You need a free cargo bay for a crate of loam and ship timber.","Du brauchst einen freien Laderaum für eine Kiste aus Lehm und Schiffsholz."
SB_BUY_MOULD_DONE,"Deep in the ship's hold, behind crates of rope and salt fish, Ide pulls the tarp off a clay-and-iron bell mould. 'Bronze sets wrong if it cools in the air out here,' she warns. 'You'll want cold water, a lot of it. Pump Nine has the only cold water in the basin.'","Tief im Laderaum, hinter Kisten mit Tauwerk und Salzfisch, zieht Ide die Plane von einer Glockenform aus Lehm und Eisen. „Bronze setzt sich falsch, wenn sie hier draußen an der Luft abkühlt“, warnt sie. „Du brauchst kaltes Wasser, viel davon. Nur Pumpstation Neun hat kaltes Wasser im ganzen Becken.“"
SB_REQ_NO_SPARE,"Ide only has the one mould you already know about.","Ide hat nur die eine Form, von der du schon weißt."
SB_REQ_NO_SECOND_MOULD,"The bell is cast. Nobody needs a second mould.","Die Glocke ist gegossen. Niemand braucht eine zweite Form."
SB_REQ_SPARE_MOULD_PRICE,"A second mould costs 6 water - Ide has to dig it out of the lower hold.","Eine zweite Form kostet 6 Wasser – Ide muss sie aus dem unteren Laderaum graben."
SB_BUY_SPARE_MOULD_DONE,"Ide sighs, lights a lamp and goes down into the lower hold. She comes back with a second mould, older and uglier than the first. 'Last one. Drive carefully.'","Ide seufzt, zündet eine Lampe an und steigt in den unteren Laderaum. Sie kommt mit einer zweiten Form zurück, älter und hässlicher als die erste. „Die letzte. Fahr vorsichtig.“"
SB_REQ_NO_MOULD,"The keeper does not run the deep pump for curiosity.","Aus bloßer Neugier wirft der Wärter die Tiefpumpe nicht an."
SB_REQ_HAVE_COOLING,"The cooling tank is already filled and sealed.","Der Kühltank ist bereits gefüllt und versiegelt."
SB_REQ_PUMP_FUEL,"The deep pump drinks 5 fuel to lift the cold water.","Die Tiefpumpe schluckt 5 Treibstoff, um das kalte Wasser zu heben."
SB_BUY_COOLING_WATER_DONE,"The deep pump coughs, then hammers. Cold water - real cold, from under the salt - fills a sealed tank for the casting. The keeper wipes his hands. 'Now you only need the bronze. The Saltmen took it off Bellwell's wagons last winter. Ask at Basalt Watch where they den.'","Die Tiefpumpe hustet, dann hämmert sie los. Kaltes Wasser – wirklich kalt, von unter dem Salz – füllt einen versiegelten Tank für den Guss. Der Wärter wischt sich die Hände ab. „Jetzt fehlt dir nur noch die Bronze. Die Salzmänner haben sie letzten Winter von Bellwells Wagen geholt. Frag auf der Basaltwacht, wo sie hausen.“"
SB_REQ_NOT_READY,"Without mould and cooling water the bronze is worth nothing to you yet.","Ohne Form und Kühlwasser nützt dir die Bronze noch nichts."
SB_REQ_HAVE_BRONZE,"The bronze is already yours.","Die Bronze gehört bereits dir."
SB_REQ_NO_CONVOY,"You need vehicles to ride against the Saltmen.","Du brauchst Fahrzeuge, um gegen die Salzmänner zu ziehen."
SB_RIDE_ON_SALTMEN_DONE,"From the watchtower the scouts point out a line of white dust: the Saltmen, rolling the Salt King's war wagon out of the old harbour with Bellwell's bronze chained to its roof. You roll down the ridge to meet them.","Vom Wachturm aus zeigen dir die Späher eine Linie aus weißem Staub: die Salzmänner, die den Kriegswagen des Salzkönigs aus dem alten Hafen rollen, Bellwells Bronze auf dem Dach angekettet. Du rollst den Grat hinunter, um sie zu stellen."
SB_REQ_NO_BRONZE,"There is no bronze to pour yet.","Es gibt noch keine Bronze zum Gießen."
SB_REQ_BELL_RUNG,"The bell already rings over the basin.","Die Glocke läutet bereits über dem Becken."
SB_REQ_MOULD_ABOARD,"Bring the founder's mould to Bellwell - a crew here must carry it.","Bring die Gießform nach Bellwell – eine Crew hier muss sie geladen haben."
SB_RECAST_BELL_DONE,"Two nights of fire, one morning of cold water hissing on hot bronze. Then Maren pulls the rope. The note goes out long and low over the salt, and three days later the dust of a water caravan answers from the south. The first barrels are yours.","Zwei Nächte Feuer, ein Morgen kaltes Wasser, das auf heißer Bronze zischt. Dann zieht Maren am Seil. Der Ton geht lang und tief über das Salz, und drei Tage später antwortet der Staub einer Wasserkarawane aus dem Süden. Die ersten Fässer gehören dir."
SB_REQ_WELL_FRIENDS,"The well is for friends of Bellwell.","Der Brunnen ist für Freunde von Bellwell."
SB_DRAW_WELL_WATER_DONE,"The winch groans for a long time before the bucket comes up. The water tastes of iron and salt, and nobody complains.","Die Winde ächzt lange, bis der Eimer heraufkommt. Das Wasser schmeckt nach Eisen und Salz, und niemand beschwert sich."
SB_SALVAGE_QUAY_DONE,"You pry bolts out of the dead crane and peel plate off a warehouse door. The salt has kept the steel better than the people.","Du brichst Bolzen aus dem toten Kran und schälst Blech von einem Lagerhaustor. Das Salz hat den Stahl besser bewahrt als die Menschen."
SB_REQ_BRONZE_ABOARD,"Only the bronze from the Salt King's roof would do. Capture it, don't burn it.","Nur die Bronze vom Dach des Salzkönigs taugt. Erbeute sie, verbrenn sie nicht."
SB_RETURN_BRONZE_DONE,"Half the town carries the chained pieces up from your truck. Ilse Marr touches each one like a returned child. 'The Saltmen kept it whole. Stupid of them. Kind to us.' The well rope is yours whenever you want it.","Die halbe Stadt trägt die angeketteten Stücke von deinem Laster herauf. Ilse Marr berührt jedes einzelne wie ein heimgekehrtes Kind. „Die Salzmänner haben sie ganz gelassen. Dumm von ihnen. Gut für uns.“ Das Brunnenseil gehört dir, wann immer du willst."
SB_REQ_TOBI_SISTER,"Tobi only drives for his sister.","Tobi fährt nur für seine Schwester."
SB_REQ_TOBI_ABOARD,"Tobi already rides with you.","Tobi fährt bereits mit dir."
SB_REQ_TOBI_PRICE,"Tobi wants 6 water for his mother before he goes.","Tobi will 6 Wasser für seine Mutter, bevor er geht."
SB_HIRE_TOBI_DONE,"Tobi throws a bag over his shoulder, kisses his mother on the forehead and is behind a wheel before anyone can change their mind.","Tobi wirft sich einen Sack über die Schulter, küsst seine Mutter auf die Stirn und sitzt hinter einem Lenkrad, bevor es sich jemand anders überlegen kann."
SB_REQ_NOTHING_YET,"The Warden has nothing to thank you for yet.","Die Wardein hat dir noch nichts zu danken."
SB_REQ_THANKED,"The Warden has already thanked you. Twice would be un-Bellwell.","Die Wardein hat dir schon gedankt. Zweimal wäre nicht Bellwell-Art."
SB_BELL_FOLK_THANKS_DONE,"Ilse Marr says nothing for a long time. Then she presses the brass valve key from her own neck into your hand. 'Any well of ours. Any day.' Six cans of fuel are already loaded.","Ilse Marr sagt lange nichts. Dann drückt sie dir den Messing-Ventilschlüssel von ihrem eigenen Hals in die Hand. „Jeder Brunnen von uns. Jeden Tag.“ Sechs Kanister Treibstoff sind schon geladen."
MISSION_SB_BELL_CRACKED_TITLE,"The Silent Bell","Die stumme Glocke"
